original_string,original_docstring,modified_short_docstring,
"void
btr_compress(
/*=========*/
btr_cur_t*cursor,/* in: cursor on the page to merge or lift;
the page must not be empty: in record delete
use btr_discard_page if the page would become
empty */
mtr_t*mtr)/* in: mtr */
{
dict_index_t*index;
ulintspace;
ulintleft_page_no;
ulintright_page_no;
page_t*merge_page;
page_t*father_page;
iboolis_left;
page_t*page;
rec_t*orig_pred;
rec_t*orig_succ;
rec_t*node_ptr;
ulintdata_size;
ulintn_recs;
ulintmax_ins_size;
ulintmax_ins_size_reorg;
ulintcomp;

page = btr_cur_get_page(cursor);
index = btr_cur_get_index(cursor);
comp = page_is_comp(page);
ut_a((ibool)!!comp == dict_table_is_comp(index->table));

ut_ad(mtr_memo_contains(mtr, dict_index_get_lock(index),
MTR_MEMO_X_LOCK));
ut_ad(mtr_memo_contains(mtr, buf_block_align(page),
MTR_MEMO_PAGE_X_FIX));
space = dict_index_get_space(index);

left_page_no = btr_page_get_prev(page, mtr);
right_page_no = btr_page_get_next(page, mtr);

#if 0
fprintf(stderr, ""Merge left page %lu right %lu \n"",
left_page_no, right_page_no);
#endif

node_ptr = btr_page_get_father_node_ptr(index, page, mtr);
ut_ad(!comp || rec_get_status(node_ptr) == REC_STATUS_NODE_PTR);
father_page = buf_frame_align(node_ptr);
ut_a(comp == page_is_comp(father_page));

/* Decide the page to which we try to merge and which will inherit
the locks */

is_left = left_page_no != FIL_NULL;

if (is_left) {

merge_page = btr_page_get(space, left_page_no, RW_X_LATCH,
  mtr);
#ifdef UNIV_BTR_DEBUG
ut_a(btr_page_get_next(merge_page, mtr)
     == buf_frame_get_page_no(page));
#endif /* UNIV_BTR_DEBUG */
} else if (right_page_no != FIL_NULL) {

merge_page = btr_page_get(space, right_page_no, RW_X_LATCH,
  mtr);
#ifdef UNIV_BTR_DEBUG
ut_a(btr_page_get_prev(merge_page, mtr)
     == buf_frame_get_page_no(page));
#endif /* UNIV_BTR_DEBUG */
} else {
/* The page is the only one on the level, lift the records
to the father */
btr_lift_page_up(index, page, mtr);

return;
}

n_recs = page_get_n_recs(page);
data_size = page_get_data_size(page);
ut_a(page_is_comp(merge_page) == comp);

max_ins_size_reorg = page_get_max_insert_size_after_reorganize(
merge_page, n_recs);
if (data_size > max_ins_size_reorg) {

/* No space for merge */

return;
}

ut_ad(page_validate(merge_page, index));

max_ins_size = page_get_max_insert_size(merge_page, n_recs);

if (data_size > max_ins_size) {

/* We have to reorganize merge_page */

btr_page_reorganize(merge_page, index, mtr);

max_ins_size = page_get_max_insert_size(merge_page, n_recs);

ut_ad(page_validate(merge_page, index));
ut_ad(page_get_max_insert_size(merge_page, n_recs)
      == max_ins_size_reorg);
}

if (data_size > max_ins_size) {

/* Add fault tolerance, though this should never happen */

return;
}

btr_search_drop_page_hash_index(page);

/* Remove the page from the level list */
btr_level_list_remove(page, mtr);

if (is_left) {
btr_node_ptr_delete(index, page, mtr);
} else {
mem_heap_t*heap= NULL;
ulintoffsets_[REC_OFFS_NORMAL_SIZE];
*offsets_ = (sizeof offsets_) / sizeof *offsets_;
/* Replace the address of the old child node (= page) with the
address of the merge page to the right */

btr_node_ptr_set_child_page_no(node_ptr,
       rec_get_offsets(
       node_ptr, index,
       offsets_,
       ULINT_UNDEFINED,
       &heap),
       right_page_no, mtr);
if (UNIV_LIKELY_NULL(heap)) {
mem_heap_free(heap);
}
btr_node_ptr_delete(index, merge_page, mtr);
}

/* Move records to the merge page */
if (is_left) {
orig_pred = page_rec_get_prev(
page_get_supremum_rec(merge_page));
page_copy_rec_list_start(merge_page, page,
 page_get_supremum_rec(page),
 index, mtr);

lock_update_merge_left(merge_page, orig_pred, page);
} else {
orig_succ = page_rec_get_next(
page_get_infimum_rec(merge_page));
page_copy_rec_list_end(merge_page, page,
       page_get_infimum_rec(page),
       index, mtr);

lock_update_merge_right(orig_succ, page);
}

/* We have added new records to merge_page: update its free bits */
ibuf_update_free_bits_if_full(index, merge_page,
      UNIV_PAGE_SIZE, ULINT_UNDEFINED);

ut_ad(page_validate(merge_page, index));

/* Free the file page */
btr_page_free(index, page, mtr);

ut_ad(btr_check_node_ptr(index, merge_page, mtr));
}","/*****************************************************************
Tries to merge the page first to the left immediate brother if such a
brother exists, and the node pointers to the current page and to the brother
reside on the same page. If the left brother does not satisfy these
conditions, looks at the right brother. If the page is the only one on that
level lifts the records of the page to the father page, thus reducing the
tree height. It is assumed that mtr holds an x-latch on the tree and on the
page. If cursor is on the leaf level, mtr must also hold x-latches to the
brothers, if they exist. NOTE: it is assumed that the caller has reserved
enough free extents so that the compression will always succeed if done! */","/*Accepts a btr_cur_t pointer and a mtr_t pointer. 
Tries to merge page to left immediate brother or right immediate brother in that order. 
Also checks if the node pointers to the current page and the brother reside on the same page. 
If the page is the only one on that level lifts the records of the page to the father page, thus reducing the tree height.*/",
"void blk_queue_split(struct bio **bio)
{
unsigned int nr_segs;

__blk_queue_split(bio, &nr_segs);
}","/**
 * blk_queue_split - split a bio and submit the second half
 * @bio: [in, out] bio to be split
 *
 * Split a bio into two bios, chains the two bios, submit the second half and
 * store a pointer to the first half in *@bio. Since this function may allocate
 * a new bio from @bio->bi_disk->queue->bio_split, it is the responsibility of
 * the caller to ensure that @bio->bi_disk->queue->bio_split is only released
 * after processing of the split bio has finished.
 */","/* Accepts a struct which represnts a bio.
Recursively split a bio and submit the second half*/",
"int stab_fun(string str){
if(str!=""puppet""){
tell_object(TP,""You should try to <stab puppet>!"");
return 0;
}
else{
if(puppet){
tell_room(TO,""%^BOLD%^%^RED%^""+TP->QCN+"" %^BOLD%^%^RED%^strikes the puppet solidly in the bullseye!%^RESET%^"",TP);
tell_object(TP,""%^BOLD%^%^RED%^You strike the puppet solidly in the bullseye!%^RESET%^"");
tell_room(ETP,"""");
tell_room(ETP,""%^BOLD%^%^BLACK%^The puppet starts to convulse violently, miming in great detail a horrible and excruciating death! It finally collapses on the ground off to the side of the room.%^RESET%^"");
puppet=0;
}
else{
tell_object(TP,""%^BOLD%^%^RED%^Stop, it's already dead!%^RESET%^"");
return 1;
}
}
return 1;
}","// This lets the player stab the guardian puppet, removing the first barrier to exiting.","/*Accepts a string argument.
This lets the player stab the guardian puppet, removing the first barrier to exiting.
Returns 0 if user tries to stab other objects, 1 if puppet is already dead */",
"void ReverseCharacters(char *string){
int count = NumberOfCharacters(string);
int s = 1;
//char display;
while (s){
if (count == -1){
s = 0;
}
else{
//display = *string+count;
//printf(""%c"", display);
// must put *(string+count)
printf(""%c"", *(string+count));
count--;
}
}
}","// must minus one to count because of the null '\0' character
","/* Accepts a character string
Reverse the character string by printing the characters in reverse */",
"static inline void soc_eu_selEventTimer(unsigned int timer_id, unsigned int mask) {
  pulp_write32 (ARCHI_SOC_EU_ADDR + SOC_TIMER_SEL_HI + timer_id * 4
            ,  (pulp_read32(ARCHI_SOC_EU_ADDR + SOC_TIMER_SEL_HI + timer_id * 4) & ~(SOC_TIMER_SEL_EVT_MASK << SOC_TIMER_SEL_EVT_SHIFT)) 
              | (mask & SOC_TIMER_SEL_EVT_MASK));
}","/** \brief Select event to be propagated to timer unit event input.
 *
 * \param timer_id Choice timer Low (1) or High (0).
 * \param mask Value on 8 bit to select the event id to be forwarded to the selected timer.
 */","/*Accepts 2 unsigned integers.
Selects the event to be propagated to the timer unsigned int event input. 
The event is determined by the passed in mask value and the timer is determined by the passed in timer_id*/",
"LABIRINTO* alocalabirinto(void){
    LABIRINTO* labirinto = (LABIRINTO*)malloc(sizeof(LABIRINTO));
        labirinto->linhas = NULL;
        labirinto->numeros = (int*)malloc(4 * sizeof(int));
        labirinto->pessoas = 0;
        labirinto->espacos_livres = 0;
        labirinto->espacos_visitados = 0;
        labirinto->porcentagem = 0;
    return labirinto;
}",//aloca a quantidade de memoria necessaria para um struct labirinto,// Allocates the amount of memory needed for a maze struct,
"int
pocl_cpuinfo_detect_max_clock_frequency() {
  int cpufreq=-1;
  
  // First try to get the result from cpufreq interface.
  cpufreq = pocl_cpufreq_get_max();
  if( cpufreq != -1 )
    return cpufreq;

  if (access (cpuinfo, R_OK) != 0) 
      return -1;
  else 
    {
      FILE *f = fopen (cpuinfo, ""r"");
      char contents[MAX_CPUINFO_SIZE];
      int num_read = fread (contents, 1, MAX_CPUINFO_SIZE - 1, f);            
      float freq = 0.0f;
      fclose (f);
      contents[num_read] = '\0';

      /* Count the number of times 'processor' keyword is found which
         should give the number of cores overall in a multiprocessor
         system. In Meego Harmattan on ARM it prints Processor instead of
         processor */
      char* p = contents;
      if ((p = strstr (p, FREQSTRING)) != NULL &&
          (p = strstr (p, "": "")) != NULL)
        {
          if (sscanf (p, "": %f"", &freq) == 0)
            {
#ifdef DEBUG_POCL_CPUINFO
              printf (""could not parse the cpu MHz field %f\n"", freq);
              puts (p);
#endif
              return -1;
            }           
          else 
            {
#ifdef DEBUG_POCL_CPUINFO
              printf (""max_freq %d\n"", (int)freq);
#endif
              return (int)freq;
            }
        }
    } 
  return -1;  
}","/**
 * Detects the maximum clock frequency of the CPU by parsing the cpuinfo.
 *
 * Assumes all cores have the same max clock freq. On some platforms, 
 * /proc/cpuinfo does not provide max CPU frequecny (ARM pandaboard), 
 * others give the *current* frequency, not the max (x86_64).
 *
 * @return The clock frequency in MHz, or -1 if couldn't figure it out.
 */","/*Detects the maximum clock frequency of the CPU by parsing the cpuinfo.
If error occurs before determining max clock frequency, prints error*/",
"static int
sensor_set_auto_brightness(struct usb_ov511 *ov, int enable)
{
int rc;

PDEBUG(4, "" (%s)"", enable ? ""turn on"" : ""turn off"");

if (ov->sensor == SEN_KS0127 || ov->sensor == SEN_KS0127B
|| ov->sensor == SEN_SAA7111A) {
PDEBUG(5, ""Unsupported with this sensor"");
return -EPERM;
}

rc = i2c_w_mask(ov, 0x2d, enable?0x10:0x00, 0x10);
if (rc < 0)
return rc;

ov->auto_brt = enable;

return 0;
}","/* If enable is true, turn on the sensor's auto brightness control, otherwise
 * turn it off.
 *
 * Unsupported: KS0127, KS0127B, SAA7111A
 * Returns: 0 for success
 */","/*Accept a struct and an integer.
If enable is true, turn on the sensor's auto brightness control, otherwise turn it off.
If enabled return 0, otherwise return -EPERM*/",
"public byte[] Extract(byte[] ikm, byte[] salt = null)
        {
            if (ikm == null)
                throw new ArgumentNullException(nameof(ikm));
            if (salt == null)
                salt = new byte[HashLength];
            if (_disposed)
                throw new ObjectDisposedException(GetType().FullName);

            InitializeHMAC(salt);

            return _hmac.ComputeHash(ikm);
        }","/// <summary>
/// Performs the HKDF-Extract function.
/// </summary>
/// <param name=""ikm"">The input keying material for HKDF-Extract.</param>
/// <param name=""salt"">An optional salt value (a non-secret random value); if not provided, it is set to a string of HashLen zeros.</param>
/// <returns>a pseudorandom key of <see cref=""HashLength""/> bytes</returns>","/* Accepts 2 byte arrays one for the salt and one for the key.
Performs the extract function in the Hash-based Key Derivation Function process.
Returns the computed Hash */",
"public static KubeClientOptions FromPodServiceAccount(string serviceAccountPath = KubeClientConstants.DefaultServiceAccountPath)
        {
            string kubeServiceHost = Environment.GetEnvironmentVariable(KubeClientConstants.KubernetesServiceHost);
            string kubeServicePort = Environment.GetEnvironmentVariable(KubeClientConstants.KubernetesServicePort);
            if (String.IsNullOrWhiteSpace(kubeServiceHost) || String.IsNullOrWhiteSpace(kubeServicePort))
                throw new InvalidOperationException($""KubeApiClient.CreateFromPodServiceAccount can only be called when running in a Kubernetes Pod ({KubeClientConstants.KubernetesServiceHost} and/or {KubeClientConstants.KubernetesServicePort} environment variable is not defined)."");

            string defaultNamespace = File.ReadAllText(Path.Combine(serviceAccountPath, ""namespace"")).Trim();

            string apiEndPoint = $""https://{kubeServiceHost}:{kubeServicePort}/"";
            string accessToken = File.ReadAllText(Path.Combine(serviceAccountPath, ""token""));
            var kubeCACertificate = new X509Certificate2(
                File.ReadAllBytes(Path.Combine(serviceAccountPath, ""ca.crt""))
            );

            return new KubeClientOptions
            {
                ApiEndPoint = new Uri(apiEndPoint),
                AuthStrategy = KubeAuthStrategy.BearerToken,
                AccessToken = accessToken,
                CertificationAuthorityCertificate = kubeCACertificate,
                KubeNamespace = defaultNamespace
            };
        }","/// <summary>
///     Create new <see cref=""KubeClientOptions""/> using pod-level configuration. 
/// </summary>
/// <param name=""serviceAccountPath"">
///     The location of the volume containing service account token, CA certificate, and default namespace.
/// </param>
/// <returns>
///     The configured <see cref=""KubeClientOptions""/>.
/// </returns>
/// <remarks>
///     Only works from within a container running in a Kubernetes Pod.
/// </remarks>
/// <exception cref=""InvalidOperationException""></exception>",// Accepts a serviceAccountPath string. Create and return new KubeClientOptions using pod-level configuration.,
"public void SetSiloType(Silo.SiloType siloType)
        {
            logger.Info(ErrorCode.SiloSetSiloType, ""Setting silo type {0}"", siloType);
            Type = siloType;
        }","/// <summary>
/// Set the type of this silo. Default is Secondary.
/// </summary>
/// <param name=""siloType"">Type of this silo.</param>",// Set the type of this silo if possible otherwise set to Default type.,
"[MethodImpl(MethodImplOptions.AggressiveInlining)]
        public TValue GetOrAdd(TKey key, Func<TKey, TValue> valueFactory)
        {
            if (dictionary.TryGetValue(key, out TValue value))
            {
                return value;
            }
            lock (GetLock(key))
            {
                return dictionary.GetOrAdd(key, valueFactory);
            }
        }","/// <summary>
/// Adds a key/value pair to the dictionary if it does not exist.
/// </summary>","/* Accepts a key, and a dictionary. 
Attempts to get and return a value based on passed in key.
Adds a key/value pair to the dictionary if it does not exist. */",
"public override object Evaluate()
        {
            if (string.Compare(TypeName, ""Date"", false) == 0)
                return new DateTime(DateTime.Now.Ticks);
            
            object[] constructorArgs = null;
            if (ParamListExpressions != null && ParamListExpressions.Count > 0)
            {
                ParamList = new List<object>();
                FunctionHelper.ResolveParameters(ParamListExpressions, ParamList);
                constructorArgs = ParamList.ToArray();
            }
            return Ctx.Types.Create(TypeName, constructorArgs);
        }","/// <summary>
/// Creates new instance of the type.
/// </summary>
/// <returns></returns>",// Creates and returns new instance of DateTime type or of the different types in the constructorArgs array.,
"[MethodImpl(MethodImplOptions.AggressiveInlining)]
        public TrinityErrorCode AddCell(CellAccessOptions writeAheadLogOptions, long cellId, byte* buff, int offset, int cellSize)
        {
            return CLocalMemoryStorage.CAddCell(cellId, buff + offset, cellSize, ushort.MaxValue, writeAheadLogOptions);
        }","/// <summary>
/// Adds a new cell to the Trinity key-value store.
/// </summary>
/// <param name=""writeAheadLogOptions"">Specifies write-ahead logging behavior. Valid values are CellAccessOptions.StrongLogAhead(default) and CellAccessOptions.WeakLogAhead. Other values are ignored.</param>
/// <param name=""cellId"">A 64-bit cell Id.</param>
/// <param name=""buff"">A memory buffer that contains the cell content.</param>
/// <param name=""offset"">The byte offset into the buff.</param>
/// <param name=""cellSize"">The size of the cell.</param>
/// <returns>true if adding succeeds; otherwise, false.</returns>","/* Accepts CellAccessOptions long, byte pointer and 2 integer. 
Adds a new cell to the Trinity key-value store using passed in values */",
"public Publisher<M> advertise<M>(string topic, int queue_size, SubscriberStatusCallback connectcallback,
            SubscriberStatusCallback disconnectcallback)
            where M : IRosMessage, new()
        {
            return advertise<M>(topic, queue_size, connectcallback, disconnectcallback, false);
        }","/// <summary>
///     Creates a publisher with connect and disconnect callbacks
/// </summary>
/// <typeparam name=""M"">Type of topic</typeparam>
/// <param name=""topic"">Name of topic</param>
/// <param name=""queue_size"">How many messages to enqueue if asynchrinous</param>
/// <param name=""connectcallback"">Callback to fire when this node connects</param>
/// <param name=""disconnectcallback"">Callback to fire when this node disconnects</param>
/// <returns>A publisher with the specified topic type, name and options</returns>","// Accepts string, integer, SubscriberStatusCallback. Creates and returns a publisher with connect and disconnect callbacks",
"[HttpPut(""{leaseId:long}/payment/{paymentId:long}"")]
        [HasPermission(Permissions.LeaseEdit)]
        [Produces(""application/json"")]
        [ProducesResponseType(typeof(IEnumerable<Models.Lease.LeaseModel>), 200)]
        [SwaggerOperation(Tags = new[] { ""lease"" })]
        public IActionResult UpdatePayment(long leaseId, long paymentId, [FromBody] Models.Lease.PaymentModel paymentModel)
        {
            var paymentEntity = _mapper.Map<PimsLeasePayment>(paymentModel);
            var updatedLease = _pimsService.LeasePaymentService.UpdatePayment(leaseId, paymentId, paymentModel.LeaseRowVersion, paymentEntity);

            return new JsonResult(_mapper.Map<Models.Lease.LeaseModel>(updatedLease));
        }","/// <summary>
/// Update the specified payment on the passed lease.
/// </summary>
/// <returns></returns>","/* Accepts leaseId, paymentId, and Lease Payment Model. 
Update the specified payment on the passed lease */",
"public static Wavenumber? Average(this IEnumerable<Wavenumber?> source)
        {
            if (source is null)
            {
                throw new ArgumentNullException(""source"");
            }

            double sum = 0;
            long count = 0;
            checked
            {
                foreach (var v in source)
                {
                    if (v != null)
                    {
                        sum += v.Value.reciprocalMetres;
                        count++;
                    }
                }
            }

            if (count > 0)
            {
                return Wavenumber.FromReciprocalMetres(sum / count);
            }

            return null;
        }","/// <summary>
/// Calculates the average <see cref=""Nullable{Wavenumber}""/> for the values in <paramref name=""source""/>
/// </summary>
/// <param name=""source""><see cref=""IEnumerable{Wavenumber}""/></param>
/// <returns>The average</returns>",// Accepts IEnumerable source. Calculates the average  for the values in source,
"public static bool LoadFromFile(string fileName, System.Text.Encoding encoding, out IssueDateType obj, out System.Exception exception)
        {
            exception = null;
            obj = default(IssueDateType);
            try
            {
                obj = LoadFromFile(fileName, encoding);
                return true;
            }
            catch (System.Exception ex)
            {
                exception = ex;
                return false;
            }
        }","/// <summary>
/// Deserializes xml markup from file into an IssueDateType object
/// </summary>
/// <param name=""fileName"">string xml file to load and deserialize</param>
/// <param name=""obj"">Output IssueDateType object</param>
/// <param name=""exception"">output Exception value if deserialize failed</param>
/// <returns>true if this XmlSerializer can deserialize the object; otherwise, false</returns>","/* Accepts filename, encoding, IssueDataType objects and an exception.
Converts xml markup file into an IssueDateType Object.
Returns true of false indicating if conversion was succesful */",
"public static bool IsValidBrazilianCorporationDocument(this string document)
        {
            document = document.RemoveNonNumeric();
            var digits = document.CalculateBrazilianCorporationDocument();
            return digits.Length == 2 && document.EndsWith(digits);
        }","/// <summary>
/// Determines whether [is valid brazilian corporation document].
/// </summary>
/// <param name=""document"">The document.</param>
/// <returns>
///   <c>true</c> if [is valid brazilian corporation document] [the specified document]; otherwise, <c>false</c>.
/// </returns>",// Accepts string document. Determines whether [is valid brazilian corporation document].,
"public void Delete(Uri location)
        {
            if (location == null) throw Error.ArgumentNull(""location"");

            var id = verifyResourceIdentity(location, needId: true, needVid: false);
            var tx = new TransactionBuilder(Endpoint).Delete(id.ResourceType, id.Id).ToBundle();

            execute<Resource>(tx, HttpStatusCode.NoContent);

            return;
        }","/// <summary>
/// Delete a resource at the given endpoint.
/// </summary>
/// <param name=""location"">endpoint of the resource to delete</param>
/// <returns>Throws an exception when the delete failed, though this might
/// just mean the server returned 404 (the resource didn't exist before) or 410 (the resource was
/// already deleted).</returns>",// Accepts a Uri. Deletes a resource at the given endpoint.,
"public ApiResponse< LabelsResponse > GetDashboardsIDLabelsWithHttpInfo (string dashboardID, string zapTraceSpan = null)
        {
            // verify the required parameter 'dashboardID' is set
            if (dashboardID == null)
                throw new ApiException(400, ""Missing required parameter 'dashboardID' when calling DashboardsService->GetDashboardsIDLabels"");

            var localVarPath = ""/api/v2/dashboards/{dashboardID}/labels"";
            var localVarPathParams = new Dictionary<String, String>();
            var localVarQueryParams = new List<KeyValuePair<String, String>>();
            var localVarHeaderParams = new Dictionary<String, String>(this.Configuration.DefaultHeader);
            var localVarFormParams = new Dictionary<String, String>();
            var localVarFileParams = new Dictionary<String, FileParameter>();
            Object localVarPostBody = null;

            // to determine the Content-Type header
            String[] localVarHttpContentTypes = new String[] {
            };
            String localVarHttpContentType = this.Configuration.ApiClient.SelectHeaderContentType(localVarHttpContentTypes);

            if (dashboardID != null) localVarPathParams.Add(""dashboardID"", this.Configuration.ApiClient.ParameterToString(dashboardID)); // path parameter
            if (zapTraceSpan != null) localVarHeaderParams.Add(""Zap-Trace-Span"", this.Configuration.ApiClient.ParameterToString(zapTraceSpan)); // header parameter

            // to determine the Accept header
            String[] localVarHttpHeaderAccepts = new String[] {
                ""application/json""
            };

            String localVarHttpHeaderAccept = this.Configuration.ApiClient.SelectHeaderAccept(localVarHttpHeaderAccepts);
            if (localVarHttpHeaderAccept != null && !localVarHeaderParams.ContainsKey(""Accept""))
                localVarHeaderParams.Add(""Accept"", localVarHttpHeaderAccept);


            // make the HTTP request
            IRestResponse localVarResponse = (IRestResponse) this.Configuration.ApiClient.CallApi(localVarPath,
                Method.GET, localVarQueryParams, localVarPostBody, localVarHeaderParams, localVarFormParams, localVarFileParams,
                localVarPathParams, localVarHttpContentType);

            int localVarStatusCode = (int) localVarResponse.StatusCode;

            if (ExceptionFactory != null)
            {
                Exception exception = ExceptionFactory(""GetDashboardsIDLabels"", localVarResponse);
                if (exception != null) throw exception;
            }

            return new ApiResponse<LabelsResponse>(localVarStatusCode,
                localVarResponse.Headers.ToDictionary(x => x.Name, x => x.Value.ToString()),
                (LabelsResponse) this.Configuration.ApiClient.Deserialize(localVarResponse, typeof(LabelsResponse)));
        }","/// <summary>
/// List all labels for a dashboard 
/// </summary>
/// <exception cref=""InfluxDB.Client.Api.Client.ApiException"">Thrown when fails to make API call</exception>
/// <param name=""dashboardID"">The dashboard ID.</param>
/// <param name=""zapTraceSpan"">OpenTracing span context (optional)</param>
/// <returns>ApiResponse of LabelsResponse</returns>","/* Accepts a dashboard ID and a zapTracespan.
 List all labels for dashboard associated with ID */",
"[ExcludeFromCodeCoverage]
public void Update([NotNull] string key, [NotNull] string data,
DatastoreOperation operation, Credentials credentials = null, Action<Response<string>> callback = null) {
Wrap(UpdateAsync(key, data, operation, credentials), callback);
}","/// <summary>
/// Updates data in the data store. On success, the new value of the data item is returned.
/// Caution: GameJolt has a hard limit of 16MB per key-value pair and a soft limit of 1MB per post-request.
/// </summary>
/// <param name=""key"">The key of the data item you'd like to update.</param>
/// <param name=""data"">The value you'd like to apply to the data store item. </param>
/// <param name=""operation"">The operation you'd like to perform. 
/// Add, Subtract, Multiply and Divide are only applicable to numeric values.</param>
/// <param name=""credentials"">If you pass in the user information, this function will use the user's data store. 
/// If you leave the user information empty, it will use the game's global data store.</param>
/// <param name=""callback"">Action that is called on completion or error.</param>
/// <returns></returns>","/* Accepts string key and data, DatastoreOperation, credentials, and an Action<Response<string>> callback. 
Updates data in the data store. On success, the new value of the data item is returned. */",
"[HttpPost]
        [Route(""get-campaign-report-by-filter-excel"")]
        public async Task<IActionResult> GetByFilterExcel(CampaignReportRequest request, [FromHeader(Name = ""userid"")][Required] string userId)
        {
            var result = await _reportService.GetCampaignReportExcelAsync(request, General.GetUserIdFromHeader(Request));
            return Ok(result);
        }","/// <summary>
/// Returns the campaign report excel file data by selected filter options
/// </summary>
/// <param name=""request""></param>
/// <returns></returns>","// Accepts request, string userId. Returns the campaign report excel file data by userID",
"public void Ping() {
            if (spLcd == null)
                throw new InvalidOperationException(""Not connected to an LCD module"");
            byte[] someData = new byte[] { 0xab, 0xac, 0xad, 0x01 };
            try {
                var receive = disp.Transaction(new Packet() {
                    Type = 0x0,
                    Data = someData
                }, 0x40);
                if (receive.Data.Length != someData.Length)
                    throw new CommunicationException(""Received ping data does not match what was sent"", CommunicationException.ErrorCodes.GeneralError);
                for (int i = 0; i < someData.Length; i++) {
                    if (someData[i] != receive.Data[i])
                        throw new CommunicationException(""Received ping data does not match what was sent"", CommunicationException.ErrorCodes.GeneralError);
                }
                // all looks good
            }
            catch (Exception ex) {
                throw new InvalidOperationException(""Failed to execute Ping command, look for details in InnerException"", ex);
            }
        }","/// <summary>
/// Sends a ping packet to the LCD and expects a ping reply. If no reply is received, throws a CommunicationException
/// Timeout: 5 seconds
/// </summary>","/* Sends a ping packet to the LCD and expects a ping reply. If no 
reply is received within 5 seconds or received data does not match 
specific requirements throws a CommunicationException */",
"public int ReadBrep(StreamReader reader, SceneBrep scene)
        {
            if (reader == null) return SceneBrep.NULL;

            Debug.Assert(scene != null);
            scene.Reset();
            return ReadBrep(reader, scene, Matrix4.Identity);
        }","/// <summary>
/// Reads one 3D scene from a given stream (containing text variant of Wavefront OBJ format).
/// </summary>
/// <param name=""reader"">Already open text reader</param>
/// <param name=""scene"">Scene to be modified</param>
/// <returns>Number of faces read</returns>","/* Accepts a reader and a scene.
Continually reads a stream and asserts 3D scenes in the stream are not null */",
"static public void GleanContributions_Helper(ICollection<ToolStripMenuItem> items, Type type, Control control, Object obj)
        {
            if (control == null) return;
            if (control is Button)
            {
                Button button = (Button)control;
                string newVariable = obj.GetType() == type
                                         ? type.Name
                                         : string.Format(""{0} -> {1}"", obj.GetType().Name, type.Name);
                items.Add(new ToolStripMenuItem(button.Text, null,
                                                (sender, e) =>
                                                {
                                                    button.PerformClick();
                                                    Logger.DebugLog(String.Format(""Button: {0} {1} {2} {3}"",
                                                                                  newVariable, e, sender, obj));
                                                })
                              {
                                  Enabled = button.Enabled,
                                  Visible = button.Visible,
                                  ToolTipText = """" + obj
                              });
                return;
            }
            foreach (object v in control.Controls)
                GleanContributions_Helper(items, type, (Control)v, obj);
        }","/// <summary>
/// Used by GleanContributions to add new ContextMenu Items gleaned from Parent control that has buttons on it
/// </summary>
/// <param name=""items"">Collection of Items to be added to</param>        
/// <param name=""type"">The type it will target</param>
/// <param name=""control"">Parent control that has buttons on it</param>
/// <param name=""obj"">Will becvome the button's target when </param>","/* Accepts items collection, a type, a control and an object. 
Used by GleanContributions to add new control to the collection of items,
 if the controls are buttons*/",
"private void SetupVideoPositionScrollBar()
        {
            // the thumb itself has width, this is the LargeChange value. If we set it
            // up like this we get 0 to 1000 as the user drags it over the range of the
            // scrollbar
            scrollBarVideoPosition.Maximum = TantaWMFUtils.MAX_DURATION_RANGE + scrollBarVideoPosition.LargeChange-1;
            scrollBarVideoPosition.Minimum = 0;
        }","/// +=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=
/// <summary>
/// Sync's the settings on the horizontal scroll bar to the video file duration
/// </summary>
/// <history>
///    01 Nov 18  Cynic - Originally Written
/// </history>",// Sync's the settings on the horizontal scroll bar to the video file duration,
"public TimeSpan Next(TimeSpan min, TimeSpan max)
        {
            if (max <= min)
            {
                throw new ArgumentException(""Max must be greater than min."");
            }

            long minTicks = min.Ticks;
            long maxTicks = max.Ticks;
            double rn = (Convert.ToDouble(maxTicks)
                - Convert.ToDouble(minTicks)) * _rnf.NextDouble()
                + Convert.ToDouble(minTicks);
            return new TimeSpan(Convert.ToInt64(rn));
        }","/// <summary>
/// Returns TimeSpan in the range [min, max)
/// </summary>","/* Accepts minimum and maximum TimeSpan.
Returns TimeSpan in the range [min, max) */",
"function waitForForkToBeReady(fork) {
  return new Promise((resolve, reject) => {
    // Check to see if we can access the fork files once every second. Give up
    // after 15 seconds.
    const checkInterval = 1000;
    const maxAttempts = 30;
    let attempts = 15;

    function checkFork() {
      fork.contents('').fetch()
        .then((contents) => {
          resolve(fork);
        })
        .catch((err) => {
          if (attempts >= maxAttempts) {
            return reject(
              new Error(`Gave up forking after ${maxAttempts} seconds`)
            );
          }

          attempts++;
          setTimeout(checkFork, checkInterval);
        });
    }

    setTimeout(checkFork, checkInterval);
  });
}",// modification. fork is expected to be a repo object from Octokat.,"/* Accepts a fork. Check to see if we can access the fork files once every second. 
If not found within 15 seconds gives up.*/",
